순번,자원명,시도,시군구,주차장유형,경도,위도
1,폴리텍III대학 입구,강원도,강릉시,노외,128.8887605,37.73710751
2,용화동 제6공영주차장,충청남도,아산시,노외,127.0114985,36.77924568
3,영천중학교,경상북도,영천시,노외,128.928862,35.97489339
4,한국전력공사 대전세종충남본부 주차장,대전광역시,동구,부설,127.434462,36.35972438
5,남한산성 센터주차장,경기도,광주시,노외,127.1885477,37.47655704
6,대해시장 공영주차장,경상북도,포항시,노외,129.3686072,36.01802524
7,곤지암초등학교,경기도,광주시,노상,127.3381352,37.34966983
8,진해냉천중학교,경상남도,창원시,노상,128.7197791,35.15614925
9,아라동 주민센터,제주특별자치도,제주시,노외,126.5449294,33.47630491
10,관음제2공영주차장,대구광역시,북구,노외,128.5463879,35.94286236
11,중리 공영주차장,경상북도,칠곡군,노외,128.4064591,36.07705102
12,청주교육지원청,충청북도,청주시,부설,127.4704613,36.61354314
13,신흥동 프라미로즈 앞,경상북도,상주시,노외,128.1613623,36.40622713
14,강원식당~대왕크리닝,강원도,횡성군,노상,127.9847361,37.49100497
15,선유도 선유3구 주자창,전라북도,군산시,노외,126.4161805,35.82449141
16,삼례읍 제2공영주차장,전라북도,완주군,노외,127.0690691,35.91428398
17,영남탕~고운꽃방,경상남도,산청군,노상,127.878014,35.41731077
18,한국전력공사 제물포지사 주차장,인천광역시,미추홀구,부설,126.6602667,37.46935817
19,대전관저중학교,대전광역시,서구,부설,127.3393813,36.30557206
20,오산시 오산역 제2환승 주차장,경기도,오산시,노외,127.0670968,37.14379232
21,문막공영주차장,강원도,원주시,노외,127.8143996,37.3072474
22,장성남중학교,전라남도,장성군,노상,126.8109517,35.24391312
23,상관면 제3공영주차장,전라북도,완주군,노외,127.2071128,35.77307686
24,다동공원 제4,서울특별시,중구,노외,126.9799447,37.56824296
25,운암마을주차장,경상남도,하동군,노외,127.8455186,35.04700959
26,흥도초등학교,대전광역시,유성구,부설,127.3386971,36.33446649
27,월서중학교,대구광역시,달서구,부설,128.5261639,35.81969479
28,부산여자중학교,부산광역시,서구,노외,129.0144572,35.12056195
29,동충동 남원농협동문지점 앞,전라북도,남원시,노외,127.3858395,35.4095219
30,경상남도교육청 거창도서관,경상남도,거창군,노상,127.9117174,35.68739752
31,향촌아파트~파랑새아파트,대전광역시,서구,노상,127.37631,36.35333248
32,경상남도하동교육지원청,경상남도,하동군,부설,127.7673643,35.06031671
33,성지고등학교,경기도,용인시,부설,127.1312675,37.27228468
34,강동유치원(부설주차장),울산광역시,북구,부설,129.4284243,35.6054054
35,동대구초등서편 공영주차장,대구광역시,동구,노상,128.619881,35.87889889
36,북부지방산림청인제국유림관리소,강원도,인제군,노상,128.1771644,38.07280259
37,오수시장 주차장,전라북도,임실군,노외,127.3278571,35.53845441
38,태백공영주차장(중앙초교입구),경상남도,창원시,노외,128.6748736,35.1527794
39,용신중학교,경기도,용인시,부설,127.1925659,37.23391303
40,삼산노상,울산광역시,남구,노상,129.3303293,35.5411259
41,기흥초등학교,경기도,용인시,노상,127.1098018,37.23191879
42,연호공원 공영주차장,경상북도,울진군,노외,129.4065582,36.99465423
43,익산교육지원청,전라북도,익산시,부설,126.9610039,35.93813472
44,경산초등학교,경상북도,경산시,부설,128.7398361,35.81535083
45,처인구청,경기도,용인시,부설,127.2013372,37.23437996
