순번,자원명,시도,시군구,주차장유형,경도,위도
1,다동공원 제4,서울특별시,중구,노외,126.9799447,37.56824296
2,창동고등학교,서울특별시,도봉구,부설,127.0388191,37.65103577
3,서울화계초등학교,서울특별시,강북구,부설,127.0297162,37.62388498
4,광운초등학교,서울특별시,성북구,부설,127.0550771,37.61906522
5,신도림고등학교,서울특별시,구로구,부설,126.8820838,37.51406292
6,신흥증권앞,서울특별시,영등포구,노상,126.9277317,37.52432137
7,청량리제1공영,서울특별시,동대문구,노상,127.0409317,37.57914438
8,필동공영,서울특별시,중구,노외,126.9958721,37.55659948
9,정릉천공영주차장,서울특별시,동대문구,노상,127.0345952,37.5805142
10,신창동 공영주차장,서울특별시,용산구,노외,126.955207,37.53528972
11,서소문삼성생명뒤,서울특별시,중구,노외,126.9747312,37.56207293
12,서울효정학교,서울특별시,강북구,부설,127.0162222,37.62712954
13,대일고등학교,서울특별시,강서구,부설,126.8634031,37.5394887
14,KBS별관뒤,서울특별시,영등포구,노상,126.9291951,37.51937684
15,KBS본관앞,서울특별시,영등포구,노상,126.9170828,37.52648435
16,방화로,서울특별시,강서구,노상,126.8165044,37.55424502
17,서울미술고등학교,서울특별시,관악구,부설,126.9667485,37.47669631
18,방이습지,서울특별시,송파구,노상,127.1351476,37.50880288
19,다동쉼터,서울특별시,중구,노상,126.9809983,37.56781813
20,영동중학교,서울특별시,서초구,부설,127.0251407,37.46598629
21,세우빌딩앞,서울특별시,영등포구,노상,126.9255701,37.53037638
22,신수중학교,서울특별시,마포구,부설,126.934132,37.545923
23,성내역,서울특별시,송파구,노상,127.1048071,37.51678523
24,송림기사식당길 공영주차장,서울특별시,광진구,노상,127.0765173,37.53678576
25,연희동 제6공영주차장,서울특별시,서대문구,노외,126.927984,37.57494277
26,신당역공영,서울특별시,중구,노외,127.0207514,37.56529199
27,코오롱빌딩옆공영,서울특별시,중구,노상,126.9781508,37.56818723
28,성곽공영,서울특별시,중구,노외,127.0048389,37.55052231
29,구현고등학교,서울특별시,구로구,부설,126.8744182,37.50228322
30,교통공원길,서울특별시,송파구,노상,127.1035992,37.51622443
31,가산디지털 서측 주변,서울특별시,금천구,노외,126.879799,37.48562795
32,서울봉래초등학교,서울특별시,중구,부설,126.9652506,37.55641234
33,남가좌2동 제1공영주차장,서울특별시,서대문구,노외,126.9217979,37.57701887
34,진주아파트옆,서울특별시,영등포구,노상,126.9316715,37.51854009
35,조선호텔앞 공영,서울특별시,중구,노상,126.98076,37.56399472
36,진흥로,서울특별시,은평구,노상,126.9205853,37.60175849
37,한국폴리텍대학 서울강서캠퍼스,서울특별시,강서구,노상,126.8424451,37.54924248
38,천호2동제2 노상주차장,서울특별시,강동구,노상,127.1231284,37.54024116
39,청계5가,서울특별시,중구,노상,127.0078147,37.56959256
40,한국관광공사옆공영,서울특별시,중구,노상,126.9817302,37.56290674
41,렉싱턴호텔뒤,서울특별시,영등포구,노상,126.9196658,37.52751174
42,삼성동제1공영,서울특별시,관악구,노상,126.9322812,37.47052182
43,남서울중학교,서울특별시,관악구,부설,126.9210371,37.48213625
44,서울방배초등학교,서울특별시,서초구,부설,126.987138,37.4867641
45,청계2,서울특별시,종로구,노상,126.9912006,37.56843345
46,(구)북부지법주변 공영주차장,서울특별시,노원구,노상,127.077419,37.62011837
47,경남,서울특별시,마포구,노상,126.9206897,37.55543847
48,강남중학교,서울특별시,동작구,부설,126.9233466,37.50276263
49,노원구청 부설 공영주차장,서울특별시,노원구,부설,127.0562972,37.65451904
